method_a,method_b,delta_corpus_chrf_b_minus_a,delta_corpus_chrf_ci_low,delta_corpus_chrf_ci_high,delta_mean_judge_overall_b_minus_a,delta_mean_judge_ci_low,delta_mean_judge_ci_high,delta_exact_rate_b_minus_a,delta_exact_ci_low,delta_exact_ci_high
frontier_deepseek_v32_fewshot_cot,candidate_pool_vote,1.5245,0.0,5.1422,0.14,-0.04,0.36,0.02,0.0,0.06
frontier_deepseek_v32_fewshot_cot,open_local_qwen_reranker,2.3059,0.1118,5.4755,0.02,-0.1,0.14,0.0,0.0,0.0
frontier_deepseek_v32_fewshot_cot,open_hybrid_heuristic_guarded,4.0772,-2.2777,10.6352,0.1,-0.2,0.4005,0.0,-0.08,0.08
frontier_deepseek_v32_fewshot_cot,candidate_pool_pairwise_mbr,6.2229,-2.5981,14.5954,-0.16,-0.5,0.18,-0.02,-0.08,0.04
frontier_deepseek_v32_fewshot_cot,hybrid_multi3_catalog_gpt54,6.3339,2.1045,11.6655,0.22,0.0,0.48,0.04,0.0,0.1
final_gap04_multitask_sigmoid,hybrid_multi3_catalog_gpt54,4.8686,-3.0174,13.4381,0.8,0.44,1.2005,0.18,0.08,0.3
frontier_deepseek_v32_fewshot_cot,final_gap04_multitask_sigmoid,1.4653,-8.0948,10.2946,-0.58,-1.04,-0.12,-0.14,-0.26,-0.04
baseline3_2_multitask,final_gap04_multitask_sigmoid,4.018,0.8444,7.8042,0.24,0.0,0.46,0.0,0.0,0.0
baseline3_2_multitask,final_v2,-6.5982,-11.8407,-1.7307,-0.3,-0.64,0.04,-0.06,-0.14,0.0
