study,variant,candidate_pool,mode,frontier_prior,title_suffix_bonus,switch_margin,switch_consensus_delta,num_examples,corpus_chrf,exact_match,exact_match_rate,contamination_rate,length_ratio,title_suffix_ok,title_suffix_total,switched_from_frontier,basis_counts
pool_ablation,frontier_only,frontier,score_max,0.75,2.5,3.0,2,50,28.5403,12,0.24,0.0,0.9529,24,27,0,"{""frontier"": 50}"
pool_ablation,frontier_plus_unk,frontier+unk,guarded,0.75,2.5,3.0,2,50,30.0469,13,0.26,0.0,0.9677,24,27,1,"{""frontier"": 49, ""unk"": 1}"
pool_ablation,frontier_plus_mtsft,frontier+mtsft,guarded,0.75,2.5,3.0,2,50,30.0469,13,0.26,0.0,0.9677,24,27,1,"{""frontier"": 49, ""mtsft"": 1}"
pool_ablation,frontier_plus_dpo,frontier+dpo,guarded,0.75,2.5,3.0,2,50,30.0469,13,0.26,0.0,0.9677,24,27,1,"{""dpo"": 1, ""frontier"": 49}"
pool_ablation,frontier_plus_unk_dpo,frontier+unk+dpo,guarded,0.75,2.5,3.0,2,50,32.6175,12,0.24,0.0,0.9826,23,27,12,"{""dpo"": 4, ""frontier"": 38, ""unk"": 8}"
sensitivity,default_guarded,frontier+unk+dpo,guarded,0.75,2.5,3.0,2,50,32.6175,12,0.24,0.0,0.9826,23,27,12,"{""dpo"": 4, ""frontier"": 38, ""unk"": 8}"
sensitivity,score_max,frontier+unk+dpo,score_max,0.75,2.5,3.0,2,50,32.5991,11,0.22,0.0,0.9801,23,27,29,"{""dpo"": 13, ""frontier"": 21, ""unk"": 16}"
sensitivity,frontier_prior_0.0,frontier+unk+dpo,guarded,0.0,2.5,3.0,2,50,32.5979,12,0.24,0.0,0.9851,23,27,13,"{""dpo"": 5, ""frontier"": 37, ""unk"": 8}"
sensitivity,frontier_prior_0.25,frontier+unk+dpo,guarded,0.25,2.5,3.0,2,50,32.5979,12,0.24,0.0,0.9851,23,27,13,"{""dpo"": 5, ""frontier"": 37, ""unk"": 8}"
sensitivity,frontier_prior_1.5,frontier+unk+dpo,guarded,1.5,2.5,3.0,2,50,32.3343,11,0.22,0.0,0.9801,24,27,10,"{""dpo"": 4, ""frontier"": 40, ""unk"": 6}"
sensitivity,switch_margin_2.0,frontier+unk+dpo,guarded,0.75,2.5,2.0,2,50,32.5979,12,0.24,0.0,0.9851,23,27,13,"{""dpo"": 5, ""frontier"": 37, ""unk"": 8}"
sensitivity,switch_margin_4.0,frontier+unk+dpo,guarded,0.75,2.5,4.0,2,50,33.4788,12,0.24,0.0,0.9826,24,27,9,"{""dpo"": 4, ""frontier"": 41, ""unk"": 5}"
sensitivity,title_bonus_1.5,frontier+unk+dpo,guarded,0.75,1.5,3.0,2,50,32.6175,12,0.24,0.0,0.9826,23,27,12,"{""dpo"": 4, ""frontier"": 38, ""unk"": 8}"
sensitivity,title_bonus_3.5,frontier+unk+dpo,guarded,0.75,3.5,3.0,2,50,32.6175,12,0.24,0.0,0.9826,23,27,12,"{""dpo"": 4, ""frontier"": 38, ""unk"": 8}"
