experiment,lex_coverage_mean,lex_coverage_min,lex_coverage_max,ppl_mean,ppl_min,ppl_max,chrf_corpus,chrf_mean_sentence,llm_semantic,llm_fluency,num_examples
baseline1,0.11648168498168499,0.0,1.0,20.212023015064926,7.863788561231919,49.49461191263699,0.19380314445601882,0.22454151010143228,1.0,1.56,50
baseline2,0.8187271062271063,0.0,1.0,4474.444060266116,49.76867778993706,62988.04262039145,6.125422127856426,7.531593291697341,2.3,2.4,50
baseline2_1_cot,0.8723382173382174,0.3333333333333333,1.0,18119.156197433815,179.7955948556064,388261.12818260916,7.5885653374803175,10.780910243219378,2.3,1.88,50
baseline3,0.31920818070818074,0.0,1.0,298684.9059481049,28.756568616142516,14650663.54100077,17.845816276192515,15.0201914353695,1.42,1.88,50
baseline3_1_unk,0.3514224664224664,0.0,1.0,11031.183689350368,99.85410538706276,146879.73251873642,22.113899970980516,20.87105962021607,1.66,1.96,50
baseline3_2_multitask,0.48393833943833947,0.0,1.0,3322.93003957607,15.652988386566193,28735.791188513565,25.987535268487637,26.229217646842855,1.7,2.26,50
baseline3_3_semantic,0.3722704517704518,0.0,1.0,17064.38218737804,3.4813202662679212,312197.7196897739,17.02505055392339,15.7307355596068,1.46,1.84,50
final,0.3913009768009767,0.0,1.0,158427.7056515152,2.424809238432754,7796470.061408043,9.226677248773543,13.363589152513406,1.4,1.42,50
final_v2,0.42240659340659337,0.0,1.0,314577.1589823399,28.108552105493,14650663.54100077,19.389331278202167,19.495486573561358,1.52,1.76,50
