experiment,lex_coverage_mean,lex_coverage_min,lex_coverage_max,ppl_mean,ppl_min,ppl_max,chrf_corpus,chrf_mean_sentence,llm_semantic,llm_fluency,num_examples,anchor_primary,anchor_secondary,anchor_human_lex_coverage_mean,anchor_human_ppl_mean,anchor_human_chrf_corpus,anchor_human_llm_semantic,anchor_human_llm_fluency,relative_lex,relative_chrf,relative_llm_semantic,relative_llm_fluency,relative_ppl
baseline1,0.11648168498168499,0.0,1.0,20.212023015064926,7.863788561231919,49.49461191263699,0.19380314445601882,0.22454151010143228,1.0,1.56,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.2031908277281034,0.0019380314445601881,0.4464285714285714,0.6666666666666667,81443.57152067432
baseline2,0.8187271062271063,0.0,1.0,4474.444060266116,49.76867778993706,62988.04262039145,6.125422127856426,7.531593291697341,2.3,2.4,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,1.428188804307543,0.06125422127856426,1.0267857142857142,1.0256410256410258,367.89807176783705
baseline2_1_cot,0.8723382173382174,0.3333333333333333,1.0,18119.156197433815,179.7955948556064,388261.12818260916,7.5885653374803175,10.780910243219378,2.3,1.88,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,1.5217081077396901,0.07588565337480317,1.0267857142857142,0.8034188034188035,90.85077274393691
baseline3,0.31920818070818074,0.0,1.0,298684.9059481049,28.756568616142516,14650663.54100077,17.845816276192515,15.0201914353695,1.42,1.88,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.5568272339627947,0.17845816276192517,0.6339285714285713,0.8034188034188035,5.511290692041079
baseline3_1_unk,0.3514224664224664,0.0,1.0,11031.183689350368,99.85410538706276,146879.73251873642,22.113899970980516,20.87105962021607,1.66,1.96,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.6130218827608828,0.22113899970980516,0.7410714285714285,0.8376068376068376,149.22599318096368
baseline3_2_multitask,0.48393833943833947,0.0,1.0,3322.93003957607,15.652988386566193,28735.791188513565,25.987535268487637,26.229217646842855,1.7,2.26,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.8441827723843562,0.2598753526848764,0.7589285714285713,0.9658119658119658,495.3879023631101
baseline3_3_semantic,0.3722704517704518,0.0,1.0,17064.38218737804,3.4813202662679212,312197.7196897739,17.02505055392339,15.7307355596068,1.46,1.84,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.6493891399823644,0.1702505055392339,0.6517857142857142,0.7863247863247864,96.46638969575767
final,0.3913009768009767,0.0,1.0,158427.7056515152,2.424809238432754,7796470.061408043,9.226677248773543,13.363589152513406,1.4,1.42,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.6825860166729852,0.09226677248773543,0.6249999999999999,0.6068376068376068,10.390476433622531
final_v2,0.42240659340659337,0.0,1.0,314577.1589823399,28.108552105493,14650663.54100077,19.389331278202167,19.495486573561358,1.52,1.76,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,0.7368467013985031,0.19389331278202168,0.6785714285714285,0.7521367521367522,5.232863528077601
human_reference,0.5732625152625153,0.0,1.0,1646139.3420049557,108.75580347959365,82031846.60208556,100.0,100.0,2.24,2.34,50,model_vs_reference,human_reference_vs_reference,0.5732625152625153,1646139.3420049557,100.0,2.24,2.34,1.0,1.0,1.0,1.0,1.0
